district,month,year,domestic_visitors,foreign_visitors
RATNAGIRI,August,2009,45206,51
RATNAGIRI,Sep,2009,52964,30
RATNAGIRI,October,2009,65716,39
RATNAGIRI,Nov,2009,74292,60
RATNAGIRI,Dec,2009,88997,145
SANGLI,January,2009,75232,25
SANGLI,February,2009,60880,21
SANGLI,March,2009,74633,15
SANGLI,April,2009,42268,9
SANGLI,May,2009,33505,6
SANGLI,June,2009,70593,4
SANGLI,July,2009,18570,9
SANGLI,August,2009,36856,4
SANGLI,Sep,2009,37372,13
SANGLI,October,2009,52040,7
SANGLI,Nov,2009,49550,12
SANGLI,Dec,2009,58057,23
SATARA,January,2009,164711,18
SATARA,February,2009,123520,20
SATARA,March,2009,111150,9
SATARA,April,2009,155890,320
SATARA,May,2009,126118,205
SATARA,June,2009,139929,450
SATARA,July,2009,69014,254
SATARA,August,2009,65546,40
SATARA,Sep,2009,49037,48
SATARA,October,2009,83490,56
SATARA,Nov,2009,136684,64
SATARA,Dec,2009,125042,104
SINDHUDURG,January,2009,127019,9
SINDHUDURG,February,2009,140329,0
SINDHUDURG,March,2009,112009,16
SINDHUDURG,April,2009,98168,191
SINDHUDURG,May,2009,102764,124
SINDHUDURG,June,2009,103693,204
SINDHUDURG,July,2009,19307,88
SINDHUDURG,August,2009,34239,95
SINDHUDURG,Sep,2009,39121,60
SINDHUDURG,October,2009,50789,32
SINDHUDURG,Nov,2009,61284,99
SINDHUDURG,Dec,2009,80042,105
SOLAPUR,January,2009,309660,5
SOLAPUR,February,2009,292801,0
SOLAPUR,March,2009,173884,0
SOLAPUR,April,2009,63952,9
SOLAPUR,May,2009,92081,14
SOLAPUR,June,2009,80630,16
SOLAPUR,July,2009,195348,9
SOLAPUR,August,2009,319300,4
SOLAPUR,Sep,2009,260340,20
SOLAPUR,October,2009,370352,5
SOLAPUR,Nov,2009,381605,11
SOLAPUR,Dec,2009,390554,16
THANE,January,2009,166323,97
THANE,February,2009,136969,80
THANE,March,2009,154695,45
THANE,April,2009,163846,309
THANE,May,2009,129096,583
THANE,June,2009,124914,676
THANE,July,2009,113195,1233
THANE,August,2009,118406,1495
THANE,Sep,2009,156353,966
THANE,October,2009,191956,1439
THANE,Nov,2009,200441,1835
THANE,Dec,2009,172996,1952
WARDHA,January,2009,21904,0
WARDHA,February,2009,21250,32
WARDHA,March,2009,18914,55
WARDHA,April,2009,14818,191
WARDHA,May,2009,15227,9
WARDHA,June,2009,9034,18
WARDHA,July,2009,3626,21
WARDHA,August,2009,3301,9
WARDHA,Sep,2009,6453,10
WARDHA,October,2009,7730,9
WARDHA,Nov,2009,15573,29
WARDHA,Dec,2009,14966,32
WASHIM,January,2009,18216,15
WASHIM,February,2009,14472,9
WASHIM,March,2009,15784,0
WASHIM,April,2009,10127,0
WASHIM,May,2009,14006,6
WASHIM,June,2009,14365,4
WASHIM,July,2009,9940,0
WASHIM,August,2009,6521,0
WASHIM,Sep,2009,6017,0
WASHIM,October,2009,19206,0
WASHIM,Nov,2009,16467,0
WASHIM,Dec,2009,15406,0
YAVATMAL,January,2009,159943,6
YAVATMAL,February,2009,144994,12
YAVATMAL,March,2009,135288,0
YAVATMAL,April,2009,125224,0
YAVATMAL,May,2009,132390,0
YAVATMAL,June,2009,129054,0
YAVATMAL,July,2009,65535,0
YAVATMAL,August,2009,58987,8
YAVATMAL,Sep,2009,78018,0
YAVATMAL,October,2009,37343,0
YAVATMAL,Nov,2009,110551,0
YAVATMAL,Dec,2009,93510,0
AHMEDNAGAR,January,2010,1427236,225
AHMEDNAGAR,February,2010,1304804,251
AHMEDNAGAR,March,2010,1280891,201
AHMEDNAGAR,April,2010,1288765,303
AHMEDNAGAR,May,2010,1349143,684
AHMEDNAGAR,June,2010,1367555,787
AHMEDNAGAR,July,2010,345039,1109
AHMEDNAGAR,August,2010,746492,1074
AHMEDNAGAR,Sep,2010,784911,1065
AHMEDNAGAR,October,2010,881100,810
AHMEDNAGAR,Nov,2010,899533,673
AHMEDNAGAR,Dec,2010,1246018,702
AKOLA,January,2010,9049,4
AKOLA,February,2010,8917,3
AKOLA,March,2010,8337,0
AKOLA,April,2010,7201,0
AKOLA,May,2010,8325,0
AKOLA,June,2010,8819,0
AKOLA,July,2010,17593,0
AKOLA,August,2010,5780,0
AKOLA,Sep,2010,7043,0
AKOLA,October,2010,7906,0
AKOLA,Nov,2010,8083,0
AKOLA,Dec,2010,8229,0
AMRAVATI,January,2010,118189,4
AMRAVATI,February,2010,119816,3
AMRAVATI,March,2010,111190,2
AMRAVATI,April,2010,99048,2
AMRAVATI,May,2010,101631,12
AMRAVATI,June,2010,105043,9
AMRAVATI,July,2010,18100,0
AMRAVATI,August,2010,89399,0
AMRAVATI,Sep,2010,53905,0
AMRAVATI,October,2010,96632,0
AMRAVATI,Nov,2010,105789,0
AMRAVATI,Dec,2010,106142,0
AURANGABAD,January,2010,933745,2544
AURANGABAD,February,2010,880658,3649
AURANGABAD,March,2010,838835,5959
AURANGABAD,April,2010,779018,6687
AURANGABAD,May,2010,796797,8822
AURANGABAD,June,2010,798114,12411
AURANGABAD,July,2010,181860,17775
AURANGABAD,August,2010,105777,15181
AURANGABAD,Sep,2010,91533,15696
AURANGABAD,October,2010,734309,12102
AURANGABAD,Nov,2010,711813,10154
AURANGABAD,Dec,2010,751963,6732
BEED,January,2010,777133,0
BEED,February,2010,655833,0
BEED,March,2010,621947,8
BEED,April,2010,604295,66
BEED,May,2010,639341,60
BEED,June,2010,625323,20
BEED,July,2010,8545,0
BEED,August,2010,10360,0
BEED,Sep,2010,14326,0
BEED,October,2010,20952,0
BEED,Nov,2010,128661,0
BEED,Dec,2010,237993,0
BHANDARA,January,2010,7150,0
BHANDARA,February,2010,6925,16
BHANDARA,March,2010,5566,3
BHANDARA,April,2010,5462,2
BHANDARA,May,2010,5588,0
BHANDARA,June,2010,5712,0
BHANDARA,July,2010,5856,0
BHANDARA,August,2010,129088,0
BHANDARA,Sep,2010,88934,0
BHANDARA,October,2010,103979,0
BHANDARA,Nov,2010,11374,0
BHANDARA,Dec,2010,7845,0
BULDHANA,January,2010,252780,11
BULDHANA,February,2010,201042,141
BULDHANA,March,2010,185849,121
BULDHANA,April,2010,182118,66
BULDHANA,May,2010,191956,69
BULDHANA,June,2010,169947,129
BULDHANA,July,2010,1365,344
BULDHANA,August,2010,84061,188
BULDHANA,Sep,2010,57286,187
BULDHANA,October,2010,147115,126
BULDHANA,Nov,2010,176412,162
BULDHANA,Dec,2010,173634,144
CHANDRAPUR,January,2010,229372,0
CHANDRAPUR,February,2010,215365,85
CHANDRAPUR,March,2010,207596,25
CHANDRAPUR,April,2010,193346,441
CHANDRAPUR,May,2010,205510,426
CHANDRAPUR,June,2010,196228,305
CHANDRAPUR,July,2010,20137,172
CHANDRAPUR,August,2010,232097,126
CHANDRAPUR,Sep,2010,103779,121
CHANDRAPUR,October,2010,190497,116
CHANDRAPUR,Nov,2010,191423,117
CHANDRAPUR,Dec,2010,185277,85
DHULE,January,2010,8490,0
DHULE,February,2010,7618,0
DHULE,March,2010,7010,0
DHULE,April,2010,6721,0
DHULE,May,2010,7279,0
DHULE,June,2010,7465,9
DHULE,July,2010,747,0
DHULE,August,2010,5798,0
DHULE,Sep,2010,7659,0
DHULE,October,2010,7012,0
DHULE,Nov,2010,5213,0
DHULE,Dec,2010,5220,0
GADCHIROLI,January,2010,1475,8
GADCHIROLI,February,2010,887,0
GADCHIROLI,March,2010,858,0
GADCHIROLI,April,2010,826,0
GADCHIROLI,May,2010,1114,0
GADCHIROLI,June,2010,1211,2
GADCHIROLI,July,2010,3780,2
GADCHIROLI,August,2010,2919,0
GADCHIROLI,Sep,2010,7832,0
GADCHIROLI,October,2010,13934,0
GADCHIROLI,Nov,2010,1783,0
